review_id,product_id,product_name,category,review_date,rating,review_title,review_text,verified_purchase,country
cm-0003,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-01-05,4,"Easy setup, great taste","Speed is excellent, noticeably faster than the machine it replaced.",false,AU
tb-0001,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-01-05,3,Mixed feelings overall,"The buzz is noticeable but not loud enough to bother me much. It's waterproof, but I still avoid soaking it for long periods.",true,UK
cm-0002,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-01-09,4,"Rich, consistent brew","I set up the clock and delay timer without checking the manual. It brews a strong, rich pot without turning bitter.",false,US
hp-0002,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-11,4,Perfect for long flights,The ambient sound mode is a nice touch for staying aware when needed. The sound quality is rich and well balanced across every genre I listen to.,true,US
hp-0003,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-11,4,Crystal clear audio,I barely hear my coworkers typing once ANC is switched on. Audio staging feels wide and immersive during movies.,true,UK
hp-0004,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-12,4,Excellent sound quality,"The mids are warm and detailed, especially on vocal-heavy songs. They fit my head shape well without any pinching around the ears. Despite the plastic frame, the overall build feels surprisingly durable.",true,CA
sw-0003,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-12,2,Strap irritates my wrist,Reconnecting to my phone after a run is hit or miss at best. The display washes out completely in direct sunlight. Notifications pile up and never clear even after I dismiss them.,true,US
tb-0002,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-01-13,4,Excellent cleaning power,My teeth look visibly whiter after a month of daily brushing.,true,US
dc-0003,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-01-15,1,Disappointing quality overall,"Assembly took nearly two hours because the instructions were poorly translated. The cushion flattened out within weeks, so sitting for hours is painful now.",true,US
sw-0001,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-17,2,Battery dies too fast,This app glitches so often that I've stopped trusting the numbers it shows.,true,US
sw-0002,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-20,1,Weak notification buzz,The app freezes right when I'm trying to start a workout. The default band is too stiff and never sits comfortably on my wrist.,true,NZ
dc-0002,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-01-21,2,Missing parts on arrival,I couldn't put together this chair without tools that weren't included in the box. This chair is overpriced for the quality you actually get.,true,UK
cm-0001,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-01-27,5,Great coffee maker overall,It's held up well and still works like new after six months. I can finally get cafe-quality flavor without leaving the house.,true,AU
dc-0001,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-01-27,3,"Does the job, nothing more","Stitching looks tidy overall, with just one slightly uneven seam near the base.",true,CA
hp-0001,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-01-29,5,Solid all-around headphones,Audio clarity is excellent even at lower volumes. I can wear these for hours and still forget they're on.,true,US
sw-0004,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-01-30,2,Uncomfortable band,I've had the app crash mid sync and lose my whole day's data. This screen becomes unreadable the moment sunlight hits it directly. The buzz for messages is so weak I miss it half the time.,true,US
hp-0007,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-02-04,4,Worth every penny,These do an excellent job canceling out consistent background noise.,true,US
sw-0006,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-02-09,1,Constant syncing issues,"The sync feature is unreliable, half my workouts never make it to the app.",true,US
cm-0006,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-02-11,1,Hard to clean,"I never managed to get the timer to hold its settings. This isn't reliable at all, it stopped heating after a few weeks. I keep getting a bitter aftertaste with every single cup.",true,US
hp-0008,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-02-11,2,Cheap feeling build,I lose the signal every time I turn my head away from my phone.,true,US
sw-0005,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-02-11,4,Love this fitness watch,App performance improved a lot after they patched the glitches from launch. My heart rate readings match my chest strap almost exactly.,true,US
dc-0006,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-02-12,2,Overpriced for what it is,I regret buying this chair because comfort during long sitting hours just isn't there.,true,CA
tb-0003,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-02-15,5,Dentist approved results,I'm impressed by how durable the housing has proven to be.,true,UK
dc-0005,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-02-17,4,Best chair I've owned,"Durability has impressed me; not a single squeak after months of use. The cushion is soft but supportive, making long sitting sessions easy. I was skeptical at first, but this chair is genuinely worth the money.",false,NZ
cm-0004,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-02-19,2,Confusing setup process,This brews the weakest coffee I've had from any machine. The filter basket is awkward to remove for cleaning.,true,AU
cm-0005,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-02-19,4,Sturdy and reliable machine,This machine brews a full pot in under five minutes.,true,US
sw-0007,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-02-19,1,App keeps crashing,Every update seems to introduce a new bug instead of fixing the old ones. I've tried repairing it three times and it still won't sync my sleep data.,true,US
hd-0003,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-02-20,2,Motor feels underpowered,The airflow seems weaker than my last dryer.,true,AU
hp-0006,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-02-22,5,Excellent value headphones,I've had zero complaints from anyone about call clarity. I'm impressed by how crisp the treble sounds on acoustic tracks.,true,US
dc-0004,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-02-25,2,Not worth the money,I needed a second person to help put together the backrest properly. It doesn't feel sturdy at all; the frame flexes when I sit down.,true,AU
tb-0004,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-02-25,3,Nothing special really,"The button works fine but the mode names aren't clearly labeled. The handle feels okay, not premium but not cheap either. Charging is straightforward but the battery drains faster than I expected.",true,US
hd-0002,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-02-26,3,Time will tell on durability,The attachments are functional but feel a bit generic. The motor gets the job done without feeling especially powerful.,true,US
hp-0005,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-02-26,5,Comfortable fit and finish,Noise-canceling performance on flights has been impressive. Voice calls sound natural without any distortion on the mic.,true,US
hd-0001,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-02-27,2,Uncomfortable handle grip,I still end up with frizz no matter how I use it.,true,NZ
sw-0008,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-02-27,2,Disappointing step tracking,I had to replace the strap because the stock one was so uncomfortable.,true,CA
cm-0008,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-03-02,3,Decent but unremarkable,"Durability seems okay so far, no complaints after two months of use.",true,UK
hp-0010,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-03-05,5,Battery lasts forever,These are the most comfortable headphones I've worn for long sessions.,true,US
cm-0007,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-03-06,3,Average setup experience,"This machine brews at a genuinely hot temperature, not lukewarm at all. Setting the clock requires holding three buttons at once, which is annoying.",true,US
hd-0006,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-03-08,3,Basic but functional,"The heat setting works fine but I wish the airflow were stronger. Noise is moderate, similar to most dryers I've used.",true,IE
tb-0005,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-03-09,5,Great daily cleaning,I love that the battery doesn't drain quickly like other brushes. The materials feel durable and far from cheap. The low noise level makes brushing feel more relaxing.,true,US
sw-0011,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-03-10,2,Display washes out in sunlight,"The latest update made the app worse, it now crashes on launch. The battery died in the middle of a long run and I lost my data.",true,NZ
sw-0010,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-03-14,1,Notifications are unreliable,The display looks washed out and dull compared to the marketing photos. I'm disappointed that the battery can't even make it through one workout and a night of sleep tracking.,true,US
hp-0011,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-03-15,5,Great for remote work,"Bass is punchy but never muddy, which surprised me.",true,AU
cm-0009,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-03-16,2,Dripping mess every morning,The taste is so bitter I can't drink it black anymore. Setup was frustrating because the instructions skip several steps. The speed is disappointing given how simple this machine is.,true,AU
dc-0009,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-03-16,2,Adjustments don't hold,The included instructions skipped a critical step for attaching the wheels. I don't find this chair comfortable at all during long work sessions.,true,UK
hp-0009,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-03-18,5,Impressive bass response,It blocks out low rumbling sounds like engines and fans really well. Every instrument in a mix comes through with real clarity. Comfort has genuinely surprised me given how much padding they have.,true,US
hd-0004,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-03-22,2,Mixed feelings so far,The diffuser attachment works great for defining my curls. The noise level is almost unbearable on high settings.,true,US
hd-0005,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-03-22,2,Loud and disappointing,"Nothing about the build feels sturdy or well made. Drying my hair is a slow, frustrating process with this thing. The motor just stopped one day with no warning.",true,CA
tb-0006,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-03-23,4,Fair not great,My dentist actually complimented my cleaning at my last checkup. It's not simple at all once you try to change modes mid brush.,true,US
sw-0009,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-03-25,5,"Bright, readable display",I can finally trust the app not to glitch out during a workout. GPS locks on fast and the distance numbers look accurate on runs. I appreciate getting app alerts on my wrist during meetings without noise.,true,US
dc-0007,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-03-26,4,Comfortable all day long,I was surprised how few parts there were to put together. I love how plush the cushion feels under me during long hours of work.,true,US
dc-0008,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-03-26,4,Excellent lumbar support,I love how easily I can adjust the armrests to match my desk height. My afternoons of sitting through meetings feel much more comfortable now.,true,UK
hp-0012,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-03-28,2,Tinny and thin audio,It fails to block out my coworkers' conversations at all. The last charge only gave me about two hours before dying.,true,US
dc-0010,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-04-03,5,Highly adjustable and comfortable,I can sit in this chair for hours and still feel comfortable. Tilting the seat back and forth feels smooth and well controlled.,false,US
hp-0013,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-04-04,5,Fantastic for commuting,The padded headband makes a noticeable difference in comfort.,true,AU
hp-0015,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-04-10,4,Superb noise blocking,"Clamping force feels just right, snug but never tight.",true,US
hp-0016,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-04-11,1,Bluetooth keeps disconnecting,Bass is overwhelming and drowns out everything else. The battery drains fast even when the headphones are just sitting idle.,true,AU
cm-0012,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-04-12,5,Quick morning brews,Descaling reminders make maintenance easy to stay on top of. Setup was painless and the included instructions covered everything I needed.,true,AU
tb-0008,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-04-13,5,Simple and reliable,This brush feels durable and has exceeded my expectations. I traveled for two weeks without needing to bring the charger. I can feel the difference in how smooth my teeth are now.,true,US
cm-0011,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-04-14,5,Excellent value coffee maker,I love that the heat holds steady until I finish the pot. Programming this machine is easier than my old coffee maker.,true,IE
dc-0011,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-04-15,1,Assembly was a nightmare,"Some of the parts were bent out of shape, which made assembly frustrating. After just two hours of sitting, the seat starts to feel hard and uncomfortable.",true,US
cm-0010,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-04-16,5,Fast and reliable,"The coffee comes out rich and full-bodied every single morning. The coffee stays hot for over an hour on the warming plate. After eight months of daily use, it still works perfectly.",false,US
sw-0014,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-04-16,2,Sleep tracking is inaccurate,Bugs in this app have made basic features completely unreliable. I can't get a comfortable fit no matter which hole I use.,true,US
sw-0012,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-04-17,4,Heart rate tracking impressed me,The band feels comfortable enough that I forget I'm wearing it. The brightness auto adjusts nicely between indoor and outdoor light.,true,US
tb-0007,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-04-18,5,Easy to use,Replacing the head is quick and doesn't require any tools. I appreciate how quiet it stays even on the higher settings.,true,CA
hd-0007,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-04-23,3,Standard drying experience,"The power settings are basic but functional. It's not exactly quiet, but not unbearably loud either. Drying time seems typical for a dryer in this price range.",true,CA
hp-0014,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-04-27,5,Comfortable for all-day wear,Call audio stays clear whether I'm at home or in a busy space.,true,AU
sw-0013,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-04-27,2,Connection keeps dropping,The app crashes almost every time I try to open my workout history. I get duplicate alerts for the same text over and over. Getting it to pair with a new phone was far more frustrating than it should be.,false,UK
dc-0012,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-04-28,1,Broke within months,The mesh material feels cheap and thin compared to the photos online.,false,UK
hd-0008,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-04-30,5,Easy one-handed use,"The motor hums along smoothly even at the highest power setting. I'm impressed by how durable this dryer has proven to be. The heat is even across the whole head, no hot spots.",true,US
dc-0013,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-05-02,5,Sturdy and well built,The sturdy construction gives me confidence it will last a long time.,false,UK
dc-0015,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-05-03,2,Cheap materials throughout,"After four months, one of the armrests simply broke off. The assembly instructions were confusing and left out several steps. This chair is not comfortable for anyone who sits for long hours at a desk.",false,AU
tb-0010,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-05-03,1,Overpriced replacement heads,The button placement makes it easy to accidentally switch modes.,true,AU
sw-0017,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-05-05,1,Frustrating pairing process,I have to charge this thing every single night without fail.,true,IE
dc-0014,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-05-06,1,Poor lumbar support,The mesh backing sagged and lost its shape within weeks.,true,US
hp-0020,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-05-06,2,Disappointing sound quality,The overall sound is tinny and thin on most tracks. The headband digs into my scalp during longer sessions. A hinge snapped after only two months of careful use.,false,US
hp-0018,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-05-08,5,Reliable bluetooth connection,These block out traffic noise better than any headphones I've owned. The soft ear cushions make these comfortable enough for all-day wear.,true,UK
hp-0019,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-05-08,5,Clear call quality,Podcasts sound noticeably clearer than they did on my old earbuds.,true,UK
cm-0013,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-05-21,4,Simple to program,Every carafe of coffee tastes fresh and never watered down.,true,US
cm-0014,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-05-21,5,Perfectly hot every time,I love how fast this brews compared to my old maker. Programming the timer for next morning was simple and intuitive. I love the deep flavor this machine pulls from dark roast beans.,false,NZ
hp-0017,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-05-21,4,Great noise cancellation,Playback time far exceeds what the box advertised. ANC makes my daily train commute noticeably quieter.,true,CA
sw-0015,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-05-22,4,Sleep tracking is spot on,"The developers clearly fixed the bugs, the app runs smoothly every day now. Syncing sleep and step data happens automatically in the background now.",false,AU
cm-0015,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-05-24,3,Works as expected,Even cheap grounds taste surprisingly good brewed in this machine. The setup manual is poorly translated and hard to follow.,true,AU
sw-0016,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-05-31,2,GPS accuracy is way off,My charge drops nearly twenty percent overnight even in standby mode. I find the fit too bulky and uncomfortable to sleep in.,true,US
tb-0009,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-05-31,5,Quiet smooth vibration,The timer buzzes at thirty second intervals so I know when to switch spots. A quick charge over lunch gives me power for another week. It removes plaque from my back molars better than my old brush.,true,US
cm-0017,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-06-02,5,"Fast brewing, no mess","The build feels durable, nothing about it seems flimsy.",true,CA
dc-0018,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-06-02,4,My back thanks me,The cushioning strikes a nice balance between soft and firm for all-day comfort. This chair has lasted over a year without any signs of wear.,true,NZ
cm-0018,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-06-03,5,Bold flavor every morning,The instructions were clear and had me brewing in no time.,false,NZ
tb-0012,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-06-08,3,Average electric toothbrush,"The brush head attaches securely, though options are somewhat limited.",true,US
dc-0017,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-06-09,1,Instructions were confusing,"The fabric started pilling within the first month of use. One of the armrest parts was missing, so I couldn't finish putting it together. The seat edge digs into my thighs whenever I sit for more than an hour.",true,UK
hp-0023,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-06-09,1,Uncomfortable after an hour,ANC creates a strange pressure feeling in my ears without blocking much. Build quality is disappointing for a pair at this price point.,true,US
sw-0019,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-06-10,2,Screen too dim outdoors,Sleep tracking logged me as awake most of the night when I was out cold. The touchscreen feels laggy and unresponsive compared to other displays I've used.,true,US
hp-0022,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-06-11,4,Great noise cancellation,I was surprised how well the ANC handles crowded environments.,true,UK
sw-0020,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-06-16,2,App freezes constantly,Sleep data shows gaps every night that don't match reality. Notifications stopped working entirely after the last software update.,true,IE
tb-0011,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-06-16,4,Great value overall,I barely notice any noise even in a small bathroom. The plaque buildup along my gum line has almost disappeared. The built in timer helps me brush for the full two minutes.,false,IE
cm-0016,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-06-17,5,"Clean design, easy maintenance",It brews hot enough that I never need the microwave anymore.,true,US
hp-0024,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-06-18,2,Battery drains too fast,ANC barely dampens airplane engine noise during flights. My ears start hurting after only thirty minutes of use.,true,AU
sw-0018,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-06-21,5,Comfortable band for daily wear,I trust the daily steps count now after comparing it to my phone.,true,UK
dc-0016,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-06-22,2,Wobbly and squeaky,It squeaks loudly every time I lean back or shift my weight.,true,UK
